Source,Target,artistName,trackName,msPlayed,endTime
Indie Rock,3. Miércoles,Perras on the beach,Tus Pecas - Bonus Track,167380,2026-06-10 15:53:00
Indie Rock,3. Miércoles,Perras on the beach,Turco X,142087,2026-06-10 15:55:00
Indie Rock,3. Miércoles,Perras on the beach,La Playa - Mambo,194000,2026-06-10 15:59:00
Indie Rock,3. Miércoles,Perras on the beach,El Tiempo,181050,2026-06-10 16:48:00
Indie Pop,3. Miércoles,Cupido,Ouch :_(,0,2026-06-10 21:26:00
Indie Rock,3. Miércoles,Perras on the beach,Puchos,82896,2026-06-10 22:10:00
Indie Pop,3. Miércoles,Los Besos,Chica de los trenes,202250,2026-06-10 22:19:00
Indie Pop,3. Miércoles,Los Besos,Limeña,236286,2026-06-10 22:28:00
Indie Folk,3. Miércoles,Julio y Agosto,Amigo,200173,2026-06-10 22:34:00
Indie Pop,4. Jueves,Axel Fiks,Fellinesca,21631,2026-06-11 11:10:00
Indie Pop,4. Jueves,Los Mundos Posibles,La Guerra del Japón,52960,2026-06-11 22:30:00
Indie Folk,4. Jueves,Chechi de Marcos,Casi Nunca Entiendo Nada,10210,2026-06-11 22:34:00
Indie Pop,5. Viernes,FLORIAN,TKM,59852,2026-06-12 11:11:00
Indie Pop,5. Viernes,Ainda,ROMPECABEZAS,46950,2026-06-12 22:34:00
Rock Argentino,5. Viernes,Patricio Rey y sus Redonditos de Ricota,La Hija del Fletero,195173,2026-06-12 22:37:00
Rock Argentino,5. Viernes,Patricio Rey y sus Redonditos de Ricota,Blues de la Libertad,300960,2026-06-12 22:47:00
Indie Rock,5. Viernes,Perras on the beach,Puchos,3350,2026-06-12 22:58:00
Indie Rock,6. Sábado,Perras on the beach,Puchos,232000,2026-06-13 12:00:00
Indie Rock,6. Sábado,Perras on the beach,Película,6258,2026-06-13 12:07:00
Indie Rock,6. Sábado,Perras on the beach,Mis Amigos,41593,2026-06-13 12:08:00
Indie Rock,6. Sábado,Perras on the beach,Ramona,117659,2026-06-13 12:10:00
Indie Rock,6. Sábado,Perras on the beach,Puchos,232000,2026-06-13 12:14:00
Indie Rock,6. Sábado,Perras on the beach,La Playa - Mambo,194000,2026-06-13 12:17:00
Indie Rock,6. Sábado,Perras on the beach,Un Montón,252778,2026-06-13 12:21:00
Indie Rock,6. Sábado,Perras on the beach,Australia,230000,2026-06-13 12:25:00
Indie Rock,6. Sábado,Perras on the beach,Turco X,142087,2026-06-13 12:28:00
Indie Rock,6. Sábado,Perras on the beach,Tus Pecas - Bonus Track,167380,2026-06-13 12:30:00
Indie Rock,6. Sábado,Perras on the beach,Viaje Alucinante al Centro de la Mente,300136,2026-06-13 12:36:00
Indie Rock,6. Sábado,Usted Señalemelo,Big Bang,134122,2026-06-13 12:38:00
